Receipt_ID,Sequence_Number,Creation_Date,Finalized_Date,Status,Type,Void_Status,Table_ID,Table_Name,Floor_ID,Floor_Name,Course_Number,User_ID,Username,Customer_ID,Customer_Name,Customer_Email,Number_of_Seats,Net_Total,Taxes,Total,Tip,Extra,Parent_ID,Has_Children,Delivery_Date
R000001.01,1,2026-03-01 12:07:00,2026-03-01 13:42:00,Paid,Dine-In,,T-21,Bar 1,F-003,Bar,,U-1002,James L.,,,,2,90.00,GST: $4.50,96.90,16.20,,,False,
R000002.01,2,2026-03-01 13:05:00,2026-03-01 14:10:00,Paid,Dine-In,,T-09,Table 9,F-001,Main Dining,,U-1003,Mika T.,C-0103,Samantha Silva,samantha.silva45@hotmail.com,2,105.00,GST: $5.25,112.65,21.00,,,False,
R000003.01,3,2026-03-01 12:33:00,2026-03-01 13:58:00,Paid,Dine-In,,T-08,Table 8,F-001,Main Dining,,U-1001,Sarah M.,,,,2,52.00,GST: $2.60,54.60,11.44,,,False,
R000004.01,4,2026-03-01 13:11:00,2026-03-01 14:22:00,Paid,Dine-In,,T-12,Table 12,F-001,Main Dining,,U-1001,Sarah M.,,,,3,130.00,GST: $6.50,140.10,26.00,,,False,
R000005.01,5,2026-03-01 13:13:00,2026-03-01 14:18:00,Paid,Dine-In,,T-10,Table 10,F-001,Main Dining,,U-1003,Mika T.,,,,2,99.00,GST: $4.95,103.95,17.82,,,False,
R000006.01,6,2026-03-01 12:27:00,2026-03-01 13:33:00,Paid,Dine-In,,T-07,Table 7,F-001,Main Dining,,U-1003,Mika T.,C-0130,Keith Sanchez,keith.sanchez73@icloud.com,2,82.00,GST: $4.10,86.10,16.40,,,False,
R000007.01,7,2026-03-01 13:09:00,2026-03-01 14:49:00,Paid,Dine-In,,T-20,Patio 6,F-002,Patio,,U-1006,Olivia C.,,,,2,73.00,GST: $3.65,77.85,13.14,,,False,
R000008.01,8,2026-03-01 12:10:00,2026-03-01 12:56:00,Paid,Dine-In,,T-10,Table 10,F-001,Main Dining,,U-1006,Olivia C.,,,,2,54.00,GST: $2.70,56.70,9.72,,,False,
R000009.01,9,2026-03-01 13:28:00,2026-03-01 15:07:00,Paid,Dine-In,,T-04,Table 4,F-001,Main Dining,,U-1002,James L.,C-0141,Noah Wilson,noah.wilson60@hotmail.com,4,141.00,GST: $7.05,148.05,28.20,,,False,
R000010.01,10,2026-03-01 12:08:00,2026-03-01 13:42:00,Paid,Dine-In,,T-13,Table 13,F-001,Main Dining,,U-1003,Mika T.,,,,2,83.00,GST: $4.15,88.35,14.94,,,False,
