Reservation_ID,Date,Reservation_Time,Party_Size,Service,Source,Status,Booked_At,Lead_Time_Days,Guest_Name,Guest_Email,Guest_Phone,Guest_Notes,Special_Request,Table_ID,Seated_Time,Departed_Time,Turn_Time_Minutes,Wait_Time_Minutes,Server_Assigned
RES-000001,2026-03-01,2026-03-01 12:15:00,1,Brunch,OpenTable,Completed,2026-03-01 11:15:00,0,Jessica Tanaka,jessica.tanaka78@icloud.com,604-208-1803,Knows Chef Tanaka,First visit — recommended by friend,T-09,2026-03-01 12:20:00,2026-03-01 13:42:00,82,5,James L.
RES-000002,2026-03-01,2026-03-01 11:45:00,2,Brunch,OpenTable,Completed,2026-02-16 05:45:00,13,Amanda Nelson,amanda.nelson57@hotmail.com,604-491-3584,,Business dinner — separate checks,T-19,2026-03-01 11:45:00,2026-03-01 12:43:00,58,0,Priya S.
RES-000003,2026-03-01,2026-03-01 12:30:00,4,Brunch,Resy,Late Cancel,2026-02-25 12:30:00,4,Viktor Anderson,viktor.anderson4@gmail.com,778-370-5906,,Running 10 min late,T-17,,,,,Dylan R.
RES-000004,2026-03-01,2026-03-01 13:00:00,4,Brunch,Resy,Completed,2026-03-01 13:00:00,0,Leo Nelson,leo.nelson49@gmail.com,604-363-2771,,,T-14,2026-03-01 13:00:00,2026-03-01 14:03:00,63,0,Olivia C.
RES-000005,2026-03-01,2026-03-01 12:45:00,4,Brunch,Phone,Completed,2026-02-28 03:45:00,1,David Thompson,david.thompson76@yahoo.ca,604-566-4898,,High chair needed,T-13,2026-03-01 12:55:00,2026-03-01 13:58:00,63,10,Mika T.
RES-000006,2026-03-01,2026-03-01 12:15:00,3,Brunch,OpenTable,Completed,2026-02-20 08:15:00,9,Yuki Bui,yuki.bui38@gmail.com,236-808-8699,,,T-02,2026-03-01 12:25:00,2026-03-01 13:27:00,62,10,Olivia C.
RES-000007,2026-03-01,2026-03-01 11:30:00,2,Brunch,OpenTable,Completed,2026-02-28 04:30:00,1,Felix Silva,felix.silva76@yahoo.ca,778-425-8359,,,T-17,2026-03-01 11:30:00,2026-03-01 12:29:00,59,0,Olivia C.
RES-000008,2026-03-01,2026-03-01 11:45:00,3,Brunch,Resy,No-Show,2026-02-25 00:45:00,4,Kevin Clark,kevin.clark72@yahoo.ca,604-892-7511,,,T-04,,,,,Olivia C.
RES-000009,2026-03-01,2026-03-01 11:30:00,4,Brunch,Resy,Completed,2026-02-16 01:30:00,13,Robert Robinson,robert.robinson16@gmail.com,604-496-6375,,,T-06,2026-03-01 11:30:00,2026-03-01 12:41:00,71,0,James L.
RES-000010,2026-03-01,2026-03-01 13:15:00,2,Brunch,OpenTable,Completed,2026-02-27 12:15:00,2,Lisa Parker,lisa.parker40@hotmail.com,604-792-1420,,,T-04,2026-03-01 13:15:00,2026-03-01 14:19:00,64,0,Mika T.
RES-000011,2026-03-01,2026-03-01 11:30:00,2,Brunch,Phone,Completed,2026-02-26 08:30:00,3,Elena Eriksen,elena.eriksen21@hotmail.com,604-253-3549,Yelp Elite reviewer,,T-20,2026-03-01 11:30:00,2026-03-01 12:26:00,56,0,Priya S.
