Date,Transaction_ID,Payment_ID,Event_Type,Location,Source,Customer_Name,Customer_ID,Device_Name,Team_Member,Gross_Sales,Discounts,Net_Sales,Tax,Tip,Total_Collected,Fees,Net_Total,Payment_Method,Card_Entry_Method,Card_Last_4,Cash_Rounding,Order_Type
2026-02-01 10:00:44,F052600BA48E40ECB7,F052600BA48E40ECB7,Payment,Main Dining,Square POS,,,Bar Terminal,Sarah M.,64.00,0.00,64.00,7.68,9.60,81.28,-2.25,79.03,Mastercard,Tap,8210,0.00,Dine-In
2026-02-01 10:02:58,850B0703635D4EBC81,850B0703635D4EBC81,Payment,Main Dining,Square POS,Chloe Brown,34B9D77BBD,Host Stand,Emma W.,55.50,0.00,55.50,6.66,12.21,74.37,-2.07,72.30,Gift Card,,,0.00,Dine-In
2026-02-01 10:05:25,BD9D183D69324829A2,BD9D183D69324829A2,Payment,Main Dining,Square POS,Ravi Smith,9A1A458001,Dining Room POS 1,Sarah M.,154.00,0.00,154.00,18.48,0.00,172.48,-4.67,167.81,Gift Card,,,0.00,Takeout
2026-02-01 10:08:06,8C967941DFD745E9BC,8C967941DFD745E9BC,Payment,Main Dining,Square POS,Emily Johnson,F7815C6488,Host Stand,Emma W.,63.00,0.00,63.00,7.56,12.60,83.16,-2.30,80.86,Visa,Chip,6511,0.00,Dine-In
2026-02-01 10:09:54,5B17B041F3E548248E,5B17B041F3E548248E,Payment,Main Dining,Square POS,Jack Lee,E4FA72598E,Bar Terminal,Priya K.,159.00,0.00,159.00,19.08,28.62,206.70,-5.58,201.12,Visa,Chip,4515,0.00,Dine-In
2026-02-01 10:11:59,E90AF73B1CD54D6BB2,E90AF73B1CD54D6BB2,Payment,Main Dining,Square POS,,,Bar Terminal,Leo C.,131.00,0.00,131.00,15.72,23.58,170.30,-4.61,165.69,Interac Debit,Tap,7499,0.00,Dine-In
2026-02-01 10:16:13,F43AFAD37D9441B9BE,F43AFAD37D9441B9BE,Payment,Main Dining,Square POS,Ken Singh,D65F386ADC,Dining Room POS 1,Emma W.,24.00,0.00,24.00,2.88,1.20,28.08,-0.84,27.24,Visa,Tap,6077,0.00,Takeout
2026-02-01 10:18:05,3755550613424632AC,3755550613424632AC,Payment,Main Dining,Square POS,Daniel Jones,87F45C6AD6,Dining Room POS 1,James L.,175.00,0.00,175.00,21.00,35.00,231.00,-6.22,224.78,Mastercard,Tap,2298,0.00,Dine-In
2026-02-01 10:18:26,AAD9C11C7B8A4EB4A6,AAD9C11C7B8A4EB4A6,Payment,Main Dining,Square POS,Michael Thompson,240E020588,Host Stand,Marcus T.,198.00,0.00,198.00,23.76,35.64,257.40,-6.92,250.48,Mastercard,Chip,4798,0.00,Dine-In
2026-02-01 10:19:36,6CF9D4F4E6CF488FB8,6CF9D4F4E6CF488FB8,Payment,Main Dining,Square POS,Michael Lee,A02466D577,Bar Terminal,Sarah M.,120.50,-42.90,77.60,9.31,19.40,106.31,-2.92,103.39,Mastercard,Tap,1111,0.00,Dine-In
2026-02-01 10:20:15,A803CF4631FA4C359D,A803CF4631FA4C359D,Payment,Main Dining,Square Online,,,Dining Room POS 1,James L.,78.00,0.00,78.00,9.36,0.00,87.36,-2.42,84.94,Mastercard,Chip,9148,0.00,Delivery
2026-02-01 10:23:16,946CBA347E0B445FBA,946CBA347E0B445FBA,Payment,Main Dining,Square POS,,,Dining Room POS 1,Leo C.,154.50,0.00,154.50,18.54,27.81,200.85,-5.42,195.43,Interac Debit,Tap,6980,0.00,Dine-In
2026-02-01 10:25:16,94082F0C6B7F41FF95,94082F0C6B7F41FF95,Payment,Main Dining,Square POS,,,Dining Room POS 2,Leo C.,131.00,0.00,131.00,15.72,23.58,170.30,-4.61,165.69,Visa,Chip,9664,0.00,Dine-In
2026-02-01 10:32:58,6A9DC9F58D37407580,6A9DC9F58D37407580,Payment,Main Dining,Square POS,,,Dining Room POS 1,Leo C.,102.00,0.00,102.00,12.24,20.40,134.64,-3.67,130.97,Visa,Tap,2956,0.00,Dine-In
2026-02-01 10:33:28,5432276A269B48F3B1,5432276A269B48F3B1,Payment,Main Dining,Square POS,Lily Anderson,BAC81F7E38,Bar Terminal,James L.,94.00,0.00,94.00,11.28,18.80,124.08,-3.39,120.69,Mastercard,Tap,8575,0.00,Dine-In
2026-02-01 10:36:43,42F2F47A203C461C9C,42F2F47A203C461C9C,Payment,Main Dining,Square POS,Sophia Garcia,43D61EAD92,Bar Terminal,Leo C.,160.50,0.00,160.50,19.26,28.89,208.65,-5.63,203.02,Visa,Tap,7771,0.00,Dine-In
2026-02-01 10:37:30,EA0948C7E61C41E194,EA0948C7E61C41E194,Payment,Main Dining,Square POS,Isabella Taylor,D8165DAEB8,Dining Room POS 2,Leo C.,70.00,0.00,70.00,8.40,14.00,92.40,-2.55,89.85,Visa,Tap,9498,0.00,Dine-In
2026-02-01 10:40:17,7B9DBC8F34EB40269D,7B9DBC8F34EB40269D,Payment,Main Dining,Square POS,Lily Wang,11BE36AEBA,Dining Room POS 1,Priya K.,145.00,0.00,145.00,17.40,0.00,162.40,-4.40,158.00,Visa,Tap,6315,0.00,Takeout
2026-02-01 10:41:49,C6659EC24D6244A599,C6659EC24D6244A599,Payment,Main Dining,Square POS,Olivia Jones,28A9A0F0F8,Bar Terminal,Marcus T.,89.50,0.00,89.50,10.74,22.38,122.62,-3.35,119.27,Visa,Chip,3142,0.00,Dine-In
2026-02-01 10:41:54,AC8DFA51FB1047E8A8,AC8DFA51FB1047E8A8,Payment,Main Dining,Square POS,,,Bar Terminal,Leo C.,149.00,0.00,149.00,17.88,26.82,193.70,-5.23,188.47,Gift Card,,,0.00,Dine-In
2026-02-01 10:45:15,3D9745AD57994200A4,3D9745AD57994200A4,Payment,Main Dining,Square POS,Lucas Singh,84046B33EA,Bar Terminal,James L.,194.50,0.00,194.50,23.34,38.90,256.74,-6.90,249.84,Visa,Chip,3831,0.00,Dine-In
2026-02-01 10:53:07,DEADC03702094B8187,DEADC03702094B8187,Payment,Main Dining,Square POS,,,Dining Room POS 1,James L.,93.50,0.00,93.50,11.22,20.57,125.29,-3.42,121.87,Visa,Tap,1464,0.00,Dine-In
2026-02-01 10:59:26,BC01D9256CE8485D95,BC01D9256CE8485D95,Payment,Main Dining,Square POS,,,Bar Terminal,Sarah M.,40.00,0.00,40.00,4.80,10.00,54.80,-1.55,53.25,Mastercard,Tap,3332,0.00,Dine-In
2026-02-01 11:07:12,4D246A2670CB4F2F85,4D246A2670CB4F2F85,Payment,Main Dining,Square POS,,,Dining Room POS 1,Marcus T.,171.00,0.00,171.00,20.52,17.10,208.62,-5.63,202.99,Visa,Tap,8088,0.00,Takeout
2026-02-01 11:11:40,945B57EAC30642E296,945B57EAC30642E296,Payment,Main Dining,Square POS,,,Bar Terminal,Leo C.,118.00,0.00,118.00,14.16,23.60,155.76,-4.23,151.53,Mastercard,Tap,6700,0.00,Dine-In
2026-02-01 11:15:09,173262CE2B6948509D,173262CE2B6948509D,Payment,Main Dining,Square POS,Raj Patel,845117A291,Host Stand,Sarah M.,113.00,0.00,113.00,13.56,22.60,149.16,0.00,149.18,Cash,,,0.02,Dine-In
2026-02-01 11:27:52,FE7BA7E8FF264CF594,FE7BA7E8FF264CF594,Payment,Main Dining,Square Online,,,Dining Room POS 1,Marcus T.,62.00,0.00,62.00,7.44,0.00,69.44,-1.94,67.50,Mastercard,Tap,8009,0.00,Delivery
2026-02-01 11:37:34,190AA2F233D9462F8F,190AA2F233D9462F8F,Payment,Main Dining,Square POS,Emily Moore,8136A6713B,Dining Room POS 1,Leo C.,69.00,0.00,69.00,8.28,13.80,91.08,-2.51,88.57,Mastercard,Chip,9907,0.00,Dine-In
2026-02-01 11:40:47,28D6DE0CA9FD42D980,28D6DE0CA9FD42D980,Payment,Main Dining,Square POS,,,Dining Room POS 1,Emma W.,68.50,0.00,68.50,8.22,12.33,89.05,-2.46,86.59,Gift Card,,,0.00,Dine-In
2026-02-01 11:42:42,2B4D84F06411478FA6,2B4D84F06411478FA6,Payment,Main Dining,Square POS,Ava Kim,997114B5CE,Dining Room POS 1,Emma W.,68.00,0.00,68.00,8.16,13.60,89.76,-2.48,87.28,Mastercard,Chip,3185,0.00,Dine-In
2026-02-01 11:44:00,A243BC2CECBF4FF891,A243BC2CECBF4FF891,Payment,Main Dining,Square POS,,,Dining Room POS 2,Priya K.,76.00,0.00,76.00,9.12,15.20,100.32,-2.76,97.56,Mastercard,Tap,9185,0.00,Dine-In
2026-02-01 11:44:58,1D1F220D6B4E464982,1D1F220D6B4E464982,Payment,Main Dining,Square POS,,,Host Stand,Priya K.,72.00,0.00,72.00,8.64,10.80,91.44,-2.52,88.92,Mastercard,Tap,4705,0.00,Dine-In
2026-02-01 11:51:29,1E664DFC54924DB084,1E664DFC54924DB084,Payment,Main Dining,Square POS,Ryan Johnson,6F396A4712,Dining Room POS 1,James L.,120.00,0.00,120.00,14.40,18.00,152.40,-4.14,148.26,Gift Card,,,0.00,Dine-In
2026-02-01 11:52:58,7069FC0BC4C34E7AB8,7069FC0BC4C34E7AB8,Payment,Main Dining,Square POS,,,Bar Terminal,Leo C.,145.00,0.00,145.00,17.40,26.10,188.50,-5.10,183.40,Mastercard,Tap,4692,0.00,Dine-In
2026-02-01 11:53:00,28B606C702F14D1986,28B606C702F14D1986,Payment,Main Dining,Square POS,,,Bar Terminal,Sarah M.,156.00,0.00,156.00,18.72,28.08,202.80,-5.47,197.33,Visa,Tap,3295,0.00,Dine-In
2026-02-01 12:10:16,5A557169A35C45FEA2,5A557169A35C45FEA2,Payment,Main Dining,Square Online,,,Dining Room POS 1,Sarah M.,193.50,0.00,193.50,23.22,0.00,216.72,-5.84,210.88,Gift Card,,,0.00,Delivery
2026-02-01 12:11:31,2AFEFB1443B94E5097,2AFEFB1443B94E5097,Payment,Main Dining,Square POS,,,Dining Room POS 2,Priya K.,128.00,0.00,128.00,15.36,25.60,168.96,-4.58,164.38,Visa,Chip,6952,0.00,Dine-In
2026-02-01 12:13:33,C4812A52C2B44044B1,C4812A52C2B44044B1,Payment,Main Dining,Square POS,,,Dining Room POS 1,Leo C.,103.00,0.00,103.00,12.36,25.75,141.11,-3.84,137.27,Interac Debit,Tap,1273,0.00,Dine-In
2026-02-01 12:13:53,BC39C756DAE541A0BE,BC39C756DAE541A0BE,Payment,Main Dining,Square POS,Michael Lee,A02466D577,Host Stand,James L.,82.00,0.00,82.00,9.84,14.76,106.60,-2.92,103.68,Visa,Chip,4941,0.00,Dine-In
2026-02-01 12:16:48,B0EC70ED752F4DE6B4,B0EC70ED752F4DE6B4,Payment,Main Dining,Square Online,,,Dining Room POS 1,Emma W.,124.00,0.00,124.00,14.88,0.00,138.88,-3.78,135.10,Visa,Tap,9285,0.00,Delivery
2026-02-01 12:20:28,F8F606F9E7B74CF8B3,F8F606F9E7B74CF8B3,Payment,Main Dining,Square POS,Emily Nakamura,5849224CE3,Dining Room POS 2,Marcus T.,79.50,0.00,79.50,9.54,15.90,104.94,-2.88,102.06,Mastercard,Tap,6370,0.00,Dine-In
