Reservation_ID,Date,Reservation_Time,Party_Size,Service,Source,Status,Booked_At,Lead_Time_Days,Guest_Name,Guest_Email,Guest_Phone,Guest_Notes,Special_Request,Table_ID,Seated_Time,Departed_Time,Turn_Time_Minutes,Wait_Time_Minutes,Server_Assigned
RES-000011,2026-03-01,2026-03-01 11:30:21,2,Brunch,Resy,Completed,2026-02-28 06:30:21,1,Rachel Kim,,604-934-7704,,Gluten-free needed,2-TOP-02,2026-03-01 11:30:21,2026-03-01 12:28:21,58,0,Maya C.
RES-000004,2026-03-01,2026-03-01 11:42:54,4,Brunch,OpenTable,Completed,2026-02-28 09:42:54,1,Hiroshi King,,,,,4-TOP-05,2026-03-01 11:52:54,2026-03-01 12:52:54,60,10,Sarah M.
RES-000002,2026-03-01,2026-03-01 11:55:22,4,Brunch,OpenTable,No-Show,2026-03-01 08:55:22,0,Sakura Allen,sakura.allen@gmail.com,604-313-9095,,Vegetarian menu requested,4-TOP-03,,,,,
RES-000012,2026-03-01,2026-03-01 11:57:29,4,Brunch,OpenTable,Completed,2026-02-27 11:57:29,2,Lauren Johansson,,604-803-9260,First time,,4-TOP-03,2026-03-01 12:00:29,2026-03-01 12:56:29,56,3,Jake T.
RES-000014,2026-03-01,2026-03-01 12:20:21,6,Brunch,Resy,Canceled,2026-03-01 01:20:21,0,Aiden Ivanov,,,,,6-TOP-01,,,,,
RES-000005,2026-03-01,2026-03-01 12:21:25,6,Brunch,OpenTable,Completed,2026-02-24 00:21:25,5,Claire Edwards,,604-335-1960,,Window seat preferred,6-TOP-01,2026-03-01 12:36:25,2026-03-01 14:10:25,94,15,Emma W.
RES-000001,2026-03-01,2026-03-01 12:23:42,2,Brunch,Resy,Completed,2026-02-27 06:23:42,2,Rachel Campbell,,604-316-2741,,Gluten-free needed,2-TOP-08,2026-03-01 12:23:42,2026-03-01 13:26:42,63,0,Jake T.
RES-000009,2026-03-01,2026-03-01 12:28:28,4,Brunch,Resy,Completed,2026-03-01 11:28:28,0,Soo-Yeon Suzuki,soo-yeon.suzuki@gmail.com,604-236-9996,,Vegetarian menu requested,4-TOP-01,2026-03-01 12:33:28,2026-03-01 13:47:28,74,5,David L.
RES-000008,2026-03-01,2026-03-01 12:34:54,3,Brunch,Resy,Late Cancel,2026-02-27 07:34:54,2,Noah Allen,,604-428-7203,,,4-TOP-07,,,,,
RES-000003,2026-03-01,2026-03-01 12:35:04,4,Brunch,OpenTable,Completed,2026-03-01 08:35:04,0,Olivia Nelson,olivia.nelson@outlook.com,,Regular — prefers patio,Vegetarian menu requested,4-TOP-05,2026-03-01 12:43:04,2026-03-01 13:51:04,68,8,Sarah M.
RES-000006,2026-03-01,2026-03-01 12:48:24,4,Brunch,Resy,Completed,2026-02-24 01:48:24,5,Andrew Baker,,604-621-8220,,,4-TOP-01,2026-03-01 12:53:24,2026-03-01 13:48:24,55,5,Jake T.
RES-000007,2026-03-01,2026-03-01 13:08:47,3,Brunch,Resy,Completed,2026-02-28 08:08:47,1,Kevin Green,kevin.green@outlook.com,604-879-7305,Wine enthusiast,Gluten-free needed,4-TOP-03,2026-03-01 13:08:47,2026-03-01 14:23:47,75,0,Emma W.
RES-000010,2026-03-01,2026-03-01 13:23:32,3,Brunch,Phone,Completed,2026-03-01 13:23:32,0,Ethan Petrov,ethan.petrov@icloud.com,604-814-8751,First time,,4-TOP-06,2026-03-01 13:23:32,2026-03-01 14:39:32,76,0,Emma W.
RES-000013,2026-03-01,2026-03-01 13:29:27,5,Brunch,Resy,Completed,2026-02-22 11:29:27,7,Tyler Nakamura,,604-873-6273,VIP guest,Gluten-free needed,6-TOP-02,2026-03-01 13:44:27,2026-03-01 15:20:27,96,15,David L.
RES-000025,2026-03-01,2026-03-01 17:48:36,4,Dinner,Walk-In,Completed,2026-03-01 11:48:36,0,Elena Walker,elena.walker@shaw.ca,604-206-2036,,Anniversary dinner — candle on dessert,4-TOP-10,2026-03-01 17:58:36,2026-03-01 19:35:36,97,10,Jake T.
RES-000032,2026-03-01,2026-03-01 17:49:57,1,Dinner,Resy,No-Show,2026-02-28 11:49:57,1,Amber Park,amber.park@yahoo.ca,604-752-8734,Regular — prefers patio,Window seat preferred,2-TOP-03,,,,,
